input_text,target_text
ایک تحقیق کے مطابق انس جسم کی بیماری,کچھ نمکیات کی وجہ سے ہوگی
موراکو میں تاریخی میراتھن ریس شروع ایک ہزار سے زائد ایتھلیٹس شریک,بلکہ یہ کہا جائے گا کہ فلاں آدمی کا فلاں نقطۂ نظر اسلام کے دائرے میں نہیں آتا
امریکہ جانے اور اس کی افغان جنگ۔,پاکستان اسٹاک ایکسچینج میں شدید مندی
وسطی ایشیا,شراب تو پہلے بھی فوجی آفیسروں میں عام تھی مگر اب تو کچی شراب ہر جگہ پی جانے لگی ہے
امریکاشمالی مشرقی ساحل سمندر پر سالانہ موٹر بوٹ ریس کا انعقاد,تائیوان میں ایسا ہوا۔
اپنے کمرے میں بے ترتیبی پاتا ہوں,اس سے پہلے کہ ہم
اس صورت میں لغت صرف تاریخی حوالے کا کام دیتی ہے۔,ہمیں جو معیشت ملی ہم نے پہلے اسکو مستحکم کیا
نا ہی پاکستان کا مطلب کیا,اس کی کتاب جلدی سے بہت مشہور ہوئی۔
تبدیلی پسند نہیں کرتا,کچھ عادت ہے۔
اور جن اولادوں کے لیئے ساری عمر کماتے ہیں,شمالی افریقہ
اسپینش کلب ریال میڈرڈ نے انٹر میلان کو شکست دے دی,اصل بات ہے۔
جو نمائشی اسلامی قوانین ہمارے ہیں۔,ہم سب کی عزت پاکستان سے ہے ۔
محبت کے سوا۔,کہ قانون سازی اور شرعی فیصلوں کا اختیار ایسے لوگوں
جلدی میں اس نے دروازہ کھلا چھوڑ دیا,دیر آید درست آید۔
کراچی سے شکارپور تصویری سفرنامہ,میں ٹھیک بھائی آپ کیسے ہیں
عربی,جس کی وجہ سے ان کو بچوں میں زیادہ مقبولیت حاصل ہوئی
برامدی ارڈرز کی بھرمار ٹیکسٹائل سیکٹرکی پیداوار بڑھ گئی,کتابی خیالات کو سمجھنے میں دشواری محسوس کرتا ہوں
جس کا جو بس چلتا ہے۔,پہلے اللہ سے اپنے گناہوں کی معافی مانگو پھر کسی اور کو تلقین کرنا
اور وقت تھما ہوا دکھائی د لگ ہے اور چندہ ثانیہ گھنٹہ پر بھار پڑ ج ہیں,اس ڈر سے ہمت ہاتھ سے پھسل جاتی ہے۔
حکومت کی مہنگائی کے مارے عوام پر ایک اور بم گرانے کی تیاریاں,آسٹریلیا
ویرات کوبلی اور,یہ چال یہ سوچ کب‘ کیسے بدلے گی
سر بیچ دیں تو فکر دل و جاں عدو کریں,پھر نظر آئے سلیقہ تری رعنائی کا
یہ خبر سامنے آنے کے بعد ہی,ٹرمپ امریکا کیلئے باعث شرمندگی
جبکہ مصباح الحق اور یونس خان جیسے سینئرز صرف اس لیے اب تک کھیل رہے ہیں,پنجاب میں صنعتوں اور سی این جی سیکٹرز کو گیس کی فراہمی معطل
عدالت نے پارلیمنٹ سے یہ درخواست کی ہے,سونم کپور نے اسل
جن کی لگی ہوئی ہے۔,ایکسٹریم اسپورٹس ہمارا ایسا کوئی شوق نہیں
خیر یہ اور بحث ہے۔,کینیڈین فرانسیسی
بارش شروع ہو گئی جب گیم منسوخ کیا گیا۔,افسرشاہی اورپولیس دونوں آزاد ہیں۔
بجلی چالو کی,ہم کیوں اپنی جانیں گنوائیں ۔
اب تک اس کا غیر منقطع تاریخی تسلسل سامنے آیا ہے۔,کہ وہ وزارت خارجہ اور وزارت خزانہ جیسی اہم
کیوں محو مدح خوبی تیغ ادا نہ تھے,ایک جانشین نامزد نہیں ہوا تھا
یہ سوچتے سوچتے اپنا راستہ لیتا,ہمارا پست معاشرہ ہے۔
گھریلو تشدد سے د,سنبھل نہیں پا رہی تھی
وہ ایسی سوسائٹی تھی۔,گویا ماضی حال اور مستقبل سے وابستہ ہو جاتا ہے۔
ریٹائر منٹ کا کوئی فیصلہ نہیں کیاسعید اجمل,یہ لوگ اچھے نہیں ہوتے لٹیرے اور ڈاکو ہوتے ہیں ۔
آج بالکل مختلف منظر ہمارے سامنے ہے۔,زندگی سے محبت کرتا ہوں
نصیرالدین شاہ کو کامیاب لوگ پسند نہیں,موسیقی پسند کرتا ہوں
اس نے اچانک اپنے بھائی کو ہجوم میں دیکھ لیا,پھر کہہ دیا کہ تمھارے دل میں بستا ہے ۔
یہ منشور سیاسی جماعتوں کی بالغ نظری کی دلیل تھے۔,ساتھ ہیمپٹن ٹیسٹ کا دوسرا دن پجارا اور معین علی کے نام
نیک شگون اور سیاسی استحکام کی علامت ہے۔,سوات کرنا ریاست نے پاکستان کا ساتھ الحاق کرنا ہونا
مریضوں اور ان کے اہلخانہ کی جانب سے دھمکیوں کا سامنا رہا ہے۔,وسطی ایشیا
اس میں عوام کارکردگی کی بنیاد پر فیصلہ دیتے ہیں۔,چہرے چھوڑیں کوئی نئے افکار تو ہوں۔
موسیقی کا کچھ قاعدہ قانون ہوتا ہے۔,جہاں باپ اور بھائیوں کو بھینٹ چڑھا دیا جاتا ہے۔
جدید تکنیکوں کا وسیع استعمال کیا,استوائی گیانا
یہ ہوئی ناں زندگی۔,کامن ویلتھ گیمز ہاکی قومی ٹیم سیمی فائنل کی دوڑ سے باہر
لاکھڑا کول ڈیولپمنٹ کمپنی ملازمین کا مستقبل غیر یقینی کا شکار,ویسٹ انڈیز کا دورہ پاکستانپی سی بی نے رکنی ٹیم کا اعلان کر دیا
اعصابی نظام کی دائمی بیماری بنیادی طور پر مرکزی اعصابی نظام کو متاثر کرتی ہے,مالیاتی خدمات ان کی ضرورتوں کے مطابق ڈھلی ہوں
اسے باہر کا راستہ دکھاؤ,بلکہ ہر ادارے میں کئی نور خان تھے۔
پاکستانی نژاد امریکی نے ویمبلے اسٹیڈیم خریدنے پر نظریں مرکوز کر لیں,ارجنٹینا نے ایسا کیا۔
مگر جب یہاں کے لوگوں سے ملاقات ہوئی تو انتظامیہ کی باتیں محض خام خیالی نظر آئیں ۔,اس لئے سوال پنجاب کا ہے۔
ایک جاپانی تھنک ٹینک نے واضح کیا ہے کہ جیسے جیسے امریکا مصنوعی ذہانت آرٹیفیشل انٹیلی جنس کے میدان میں مشہور ہو رہا ہے,غلط نظریات نھیں
مسئلہ جمہوریت نہیں کثرت کی خواہش ہے۔,جہاں میں زیرتعلیم ہوں
سڑکوں اور پلوں سے سوچ نہیں بنتی۔,تقریبا نیم دراز بینک منیجر نے
ان پر ایمان کے تقاضے کیا ہیں,مجھے اس سے خوف آتا ہے
آئین انہیں پانچ سال کے لیے کام کی اجازت دیتا ہے۔,کلورو فلورو کاربن گیسیں یا سی ایف سی گیس
سوچیں بہت محنت کی,آسمان پر بادل چھائے ہوئے ہیں
سگریٹ کے کش لگانے لگا۔,پہلے جنون چڑ ھا تھا۔
تو ایسے ہی ہوگا۔,گلین میکسویل نے سرفراز احمد سے ہاتھ نہ ملانے پر معذرت کر لی
کو انجوائے کرتے ہوئے,‘ پوراکرنے میں مددگار ثابت ہوں گے
جاپان,علم نفسیات پہلے اسے ایک سماجی مرض قرار دیتا تھا۔
ہر جگہ پائے جاتے ہیں,پریمئیر لیگ فٹبال لیور پول نے ویسٹ ہام کو شکست دے دی
وہ تو لگتاہے مکمل طورپہ ختم ہوچکی۔,میں اپنے دانت برش کر تاہوں
لیکن بات مزاج کی ہے۔,روس کے ملک الشعراء “رسول ھمزہ توف“ کی خوبصورت نظم
ایک ہزار روپے سے شروع کمپنی لاکھ کروڑ کی مالک بن گئی,چین میں الیکٹرک گاڑیوں کی ریس شروع ہوگئی
یوں مصنوعی نہیں رہیں بناوٹ کی عمر مختصر ہوتی ہے۔,پنجابی کا وہ کیا لفظ ہے بھلیکھا۔
اس موسم میں بے رحم,ہمانگ
جستجو کی موت بے حسی کا جنم ہے۔,ہمارے کتنے ہیں۔
بل کھاتی ہوئی ایک سڑک مسلسل بلندی کی طرف جاتی ہے۔,صبح صادق سے فائرنگ کی
کیسے ہیں آپ,ہٹلر اس کا خاص اہتمام کرتا تھا۔
جو وہ قرض رکھتے تھے جان پر وہ حساب آج چکا دیا,گاؤں میں ڈاکٹروں کی کمی ہے
ہمیں جانوروں کا خیال رکھنا چاہیے,ابتدا میں اسی طرح کے موضوعات پر لکھنے کی کوشش کی
فلم نے پاکستان اور بھارت سمیت,بجٹ میں اس بار تعلیم کے لیے پانچ فیصد بجٹ مختص کیا جائے
ن لیگ کی سیاست روایتی سیاست ہے۔,اورپرندے عام طور پر
کہا تھا کہ اسے جہاں سے لایا ہے۔,وہ اور کچھ ہوں۔
بننا آسان نہیں ہوتا,یہاں تک کہہ ہم دو جواںمرد اوسط عمر کے حساب سے پہل لے لوگ تک پہنچ گئے
کوئی صداقت نہیں,پاکستان اسٹاک ایکسچینج میں روز تک کاروبار بند رہے گا
جس نے جمہوری اداروں کو استحکام,گوئرنسی
اس کی کیا ضرورت تھی,ان کا بیٹا وہاں کے دس امیرترین افراد میں شامل ہے۔
وہ پاکستانی ڈرامے جو اپ کو دیکھنے چاہئیں,ہمارے ہسپتالوں کی اصلاح کون کرے گا
وہی ملک ہے۔,کے ہاتھ میں آجاتا ہے جو قانون کی رو سے
ان کو بھی دیکھ لیں گے۔,مجھے شطرنج کھیلنا نہیں آتی
آفیشل دورہ پر چترال گئے تھے,غم بیان کرنا میری فطرت میں نہیں
آج وہ ہر صورت میں نوازشریف صاحب کو شکست دینا چاہتے ہیں,یہاں دستخط کیجئے
تاہم طویل عرصے تک اس کا استعمال خال خال ہی نظر آیا,حضرت انس رضی اللہ عنہ سے روایت ہے
اس سے پاکستان کا امیج مجروح ہوا۔,ان عادات پہ رونا فضول کی بات ہے۔
مثال کے طور پر اگر آپ کسی نوکری کے انٹرویو کے لیے جاتے ہیں,یہی جناح صاحب کی ہے۔
تو ون ڈے ٹیم کی باگ ڈور بھی,بام مینا سے ماہتاب اترے
خاموشی ہے۔,لوگ چل کرگئےاورمرکرآئے
دیگر کوئی جماعت یا لیڈر نہیں ہے۔,اب اسے کسی آئینی طریقے ہی سے ختم کیا جا سکتا ہے۔
ممبئی ڈسمبرایجنسی بالی ووڈ کی دھک دھک گرل مادھوری نے انڈین نیشنل کانگرس کو جائن کرنے کا فیصلہ کیا ہے,میں اپنا تجزیہ نکات کی صورت میں بیان کر رہا ہوں۔
حق کے ساتھ وصال اس کی منزل ہے۔,اب قوم ہے۔
چند دہائیوں میں ترقی یافتہ ممالک بن گئے,تماشا تھا۔
ایسا لگتا ہے۔,سؤر میں ایک سو پینتیس خامیاں نکال لیں
کل کلاں کو لوگ صرف ویب پر تحریر پڑھا اور پھر لکھا کر تھے,فواد اور دپیکا کی خفیہ چھٹیاں
لیکن اچھے زمانے تھے۔,نواب سیلم خان کی ایک پارٹی کی
وہ راز جس نے ہمیں راندۂ زمانہ کیا,کیوں کر کہوں لو نام نہ ان کا مرے آگے
تیاری کیسی گئی,وزارت صحت کا مقصد اس بیماری کے بارے میں شعور اجاگر کرنا ہے
گوام,ریلوے ملازمین کو اگست کی تنخواہ عیدالضحی سے قبل دینے کا فیصلہ
بھارت کا امیر تر,جنرل اشفاق ندیم ریٹائر ہو چکے ہیں۔
جس کو صائم الدھر کہا جاتا ہے,پرندے نقل مکانی کرنا شروع کرتے ہیں
وہ بھی نہ مانے۔,ابھی تک انہوں نے سرکس ہی سجایا ہے۔
کمپنی نے کہا مقامی انتظامیہ نے الزامات پر سماعتیں گذشتہ بہار میں کی تھیں,وقت بے وقت تبلیغ ہی کرتے رہتے ہیں۔
لیکن کیا تعلقات میں کشیدگی,اور یہ سے بڑھنا یہ کہ حکومت یہ کو تحفظ دینا کا لئے یہ کو اسلحہ لائسنس جاری کرنا ہونا
بہت کم اپنی جذباتی رد عمل کے بارے میں سوچتا ہوں,ایسا کرنے والے اور بھی ہوں گے جو اس نے کیا
"اور شائقین کو بھی ""نیا کپتان نیا جوش"" کے نعرے سے کچھ دنوں کے لیے بہلایا جاسکتا ہے ۔",مختلف مشروبات کا ذکر کرتے ہوئے شکر ادا کرتی ہے
مزید زیادہ لوگوں نے کہا حالات اس عرصے میں بدترین ہو جائیں گے,نبی رحمت حضرت محمد مصطفی صلی اللہ علیہ وسلم پر ہزاروں درود و سلام
سپریم کورٹ میں ڈپٹی سپیکر قومی اسمبلی کی رولنگ پر از خود نوٹس کیس کی سماعت جاری ہے,آئی ایم ایف کے ساتھ کن شرائط پر بات ہو رہی ہے
